component_name,brand,price,color,type
Kingston FURY Renegade 32 GB,"2,16",238.26,White / Silver,Memory
Kingston FURY Beast 32 GB,"2,16",122.98,Black,Memory
Kingston HyperX Predator 16 GB,"2,8",,Black / Silver,Memory
Crucial Ballistix 8 GB,"1,8",,Black,Memory
G.Skill Trident Z 16 GB,"2,8",49.99,Black / White,Memory
G.Skill Trident Z5 RGB 32 GB,"2,16",117.99,White / Black,Memory
Corsair Dominator Platinum RGB 32 GB,"2,16",117.99,Black,Memory
Acer Predator Pallas II 32 GB,"2,16",,Black,Memory
Corsair Dominator Platinum RGB 16 GB,"2,8",89.99,White,Memory
Kingston FURY Beast RGB 8 GB,"1,8",38.99,Black,Memory
G.Skill Ripjaws V 32 GB,"2,16",166.93,Black,Memory
TEAMGROUP T-Force DELTAα RGB 32 GB,"2,16",104.99,White,Memory
G.Skill Trident Z5 RGB 32 GB,"2,16",,White / Black,Memory
Mushkin Enhanced Redline 64 GB,"2,32",167.99,Black,Memory
Patriot Viper Elite II 16 GB,"1,16",31.99,Red / Black,Memory
Kingston HyperX Fury 8 GB,"2,4",,Black / White,Memory
Crucial CT51264BA160B 4 GB,"1,4",10.4,Green,Memory
Patriot Viper Venom 32 GB,"2,16",107.99,Black / White,Memory
G.Skill Ripjaws S5 48 GB,"2,24",174.99,Black,Memory
Patriot Viper Steel 64 GB,"2,32",127.99,Gray,Memory
Kingston FURY Beast 32 GB,"4,8",98.55,Black,Memory
Kingston FURY 64 GB,"4,16",259.99,White,Memory
Corsair Vengeance RGB Pro 32 GB,"2,16",90.98,White,Memory
G.Skill Trident Z Royal 16 GB,"2,8",91.8,Silver,Memory
Lexar THOR 8 GB,"1,8",,Black,Memory
Thermaltake TOUGHRAM RGB 16 GB,"2,8",110.42,Black / Silver,Memory
G.Skill Ripjaws V 16 GB,"2,8",,Black,Memory
Corsair Vengeance RGB Pro 16 GB,"2,8",64.98,White,Memory
ADATA XPG LANCER RGB 16 GB,"1,16",,Black,Memory
Crucial Ballistix 16 GB,"2,8",,Black,Memory
GeIL Orion AMD Edition 16 GB,"2,8",39.99,Red,Memory
TEAMGROUP T-Create Expert 64 GB,"2,32",124.99,Gray,Memory
Corsair Vengeance RGB 32 GB,"2,16",109.99,Black,Memory
G.Skill Trident Z5 RGB 48 GB,"2,24",229.99,White / Black,Memory
Samsung M471B5273DH0-CK0 4 GB,"1,4",9.34,Green,Memory
GOODRAM IRDM PRO 16 GB,"2,8",80.66,Black,Memory
Corsair Vengeance LPX 16 GB,"2,8",,Black / Yellow,Memory
G.Skill Trident Z Royal 32 GB,"2,16",104.99,Silver,Memory
Kingston FURY Renegade 32 GB,"2,16",139.99,Silver / Black,Memory
Kingston FURY Renegade 32 GB,"2,16",249.99,Silver / White,Memory
G.Skill Trident Z5 RGB 32 GB,"2,16",113.99,Black,Memory
Corsair Vengeance LPX 32 GB,"4,8",94.99,Black / Yellow,Memory
Patriot Viper Venom 32 GB,"2,16",104.99,Black / White,Memory
Silicon Power XPOWER Zenith RGB Gaming 16 GB,"2,8",45.97,Black,Memory
ADATA XPG LANCER RGB 32 GB,"2,16",,White,Memory
TEAMGROUP T-Force Delta TUF Gaming Alliance 16 GB,"2,8",49.99,Black / Gold,Memory
Mushkin Redline Lumina 64 GB,"2,32",189.47,Black,Memory
Corsair Vengeance LPX 32 GB,"4,8",94.99,Black / Yellow,Memory
Patriot Viper 4 Blackout 32 GB,"2,16",64.98,Black,Memory
Corsair Vengeance RGB Pro 32 GB,"4,8",139.99,White,Memory
Corsair Vengeance RGB RT 32 GB,"2,16",124.99,Black,Memory
G.Skill Flare X 16 GB,"2,8",,Black,Memory
G.Skill Ripjaws V 16 GB,"2,8",41.83,Black / Red,Memory
Kingston ValueRAM 64 GB,"4,16",,Black / Green,Memory
Kingston HyperX Fury 16 GB,"2,8",,White,Memory
G.Skill Ripjaws S5 64 GB,"2,32",199.99,Black,Memory
Kingston FURY Beast RGB 32 GB,"2,16",131.47,Black,Memory
Patriot Viper 4 Blackout 32 GB,"2,16",69.98,Black,Memory
Patriot Viper Steel RGB 32 GB,"2,16",76.98,Black,Memory
Kingston FURY Renegade 32 GB,"1,32",134.99,Silver / Black,Memory
Crucial CT4G4DFS824A 4 GB,"1,4",15.0,Black / Green,Memory
Kingston FURY Renegade 48 GB,"1,48",226.16,Silver / Black,Memory
SK Hynix HMT41GU6MFR8C-PB 8 GB,"1,8",,Blue,Memory
ADATA XPG GAMMIX D45 16 GB,"2,8",,White,Memory
G.Skill Trident Z5 32 GB,"2,16",116.99,Black,Memory
Mushkin Redline ST 32 GB,"2,16",,Black,Memory
Corsair Vengeance LPX 8 GB,"1,8",24.99,Red,Memory
Crucial CT2K16G4RFD4213 32 GB,"2,16",64.98,Green,Memory
Corsair Vengeance RGB 32 GB,"2,16",157.99,Black,Memory
Crucial CT2K4G4DFS824A 8 GB,"2,4",25.99,Green,Memory
Kingston FURY Renegade 16 GB,"2,8",70.98,Black / Silver,Memory
Timetec PINNACLE Konduit 16 GB,"2,8",47.55,White,Memory
G.Skill Trident Z 32 GB,"2,16",,Black,Memory
Kingston FURY Beast 8 GB,"1,8",29.31,Black,Memory
Corsair Vengeance RGB 48 GB,"2,24",209.99,Black,Memory
Patriot Viper Elite 5 RGB 32 GB,"1,32",99.99,White,Memory
GOODRAM IRDM PRO 32 GB,"2,16",128.21,Black,Memory
Crucial CT8G4DFD8213 8 GB,"1,8",21.0,Black / Green,Memory
G.Skill Trident Z RGB 16 GB,"2,8",133.37,Black,Memory
G.Skill Trident Z5 RGB 96 GB,"2,48",299.99,Black,Memory
Corsair Vengeance RGB 48 GB,"2,24",164.99,Black / Silver,Memory
ADATA XPG Z1 16 GB,"2,8",,Red / Black,Memory
Patriot Viper Xtreme 5 48 GB,"2,24",179.99,Black,Memory
Mushkin Redline Lumina 64 GB,"2,32",194.99,Black,Memory
Kingston KSM48E40BD8KM-32HM 32 GB,"1,32",124.99,Green,Memory
G.Skill Trident Z5 RGB 32 GB,"2,16",124.99,Silver / Black,Memory
Crucial Pro 48 GB,"2,24",169.99,Black,Memory
Corsair Dominator Titanium First Edition 32 GB,"2,16",234.99,Black,Memory
G.Skill Ripjaws X 16 GB,"2,8",44.99,Black / Blue,Memory
Kingston FURY Beast 64 GB,"2,32",194.99,Black,Memory
G.Skill Ripjaws S5 64 GB,"2,32",255.36,Black,Memory
Kingston FURY Beast RGB 64 GB,"2,32",224.99,Black,Memory
Kingston FURY Beast RGB 32 GB,"1,32",130.87,Black,Memory
Corsair Dominator Platinum RGB 32 GB,"2,16",,White,Memory
Kingston ValueRAM 1 GB,"1,1",11.95,Green,Memory
ADATA AD4U266638G19-S 8 GB,"1,8",,Green / Black,Memory
G.Skill Ripjaws V 32 GB,"2,16",67.98,Red,Memory
Corsair Vengeance LPX 64 GB,"2,32",129.99,Black / Yellow,Memory
Corsair Vengeance RGB Pro 128 GB,"4,32",324.99,Black,Memory
Corsair Vengeance RGB 64 GB,"2,32",209.99,White / Gray,Memory
G.Skill Trident Z5 RGB 48 GB,"2,24",249.99,Silver / Black,Memory
G.Skill Ares 16 GB,"2,8",1368.64,Black / Red,Memory
Crucial CT64G4LFQ424A 64 GB,"1,64",179.0,Black / Green,Memory
SK Hynix HMAA2GU6CJR8N-XN 16 GB,"1,16",,Green,Memory
G.Skill Ripjaws S5 32 GB,"2,16",104.99,White,Memory
TEAMGROUP T-Force Xtreem ARGB 64 GB,"2,32",139.99,White,Memory
Kingston FURY Beast 16 GB,"1,16",65.98,Black / Silver,Memory
Patriot Signature Line 4 GB,"1,4",11.99,Black / Green,Memory
Patriot Signature Line 16 GB,"1,16",31.99,,Memory
Patriot Viper Venom RGB 32 GB,"2,16",102.99,Black / White,Memory
Crucial CT2K16G52C42U5 32 GB,"2,16",109.85,Black,Memory
Corsair Vengeance 96 GB,"4,24",319.99,Black / Silver,Memory
G.Skill Ripjaws X 16 GB,"4,4",57.4,Black / Red,Memory
TEAMGROUP Xtreem 48 GB,"2,24",249.99,Black,Memory
Kingston FURY Beast RGB 32 GB,"2,16",133.35,Black,Memory
Mushkin Enhanced Redline 96 GB,"2,48",249.99,Black,Memory
Corsair Vengeance 64 GB,"2,32",179.99,Black / Gray,Memory
Corsair Dominator Platinum RGB 128 GB,"4,32",663.92,Black,Memory
TEAMGROUP Elite Plus 16 GB,"2,8",,Black,Memory
TEAMGROUP T-Force Xtreem ARGB 32 GB,"2,16",114.05,White,Memory
Corsair Vengeance RGB Pro 16 GB,"2,8",69.98,White,Memory
Patriot Viper Elite II 8 GB,"1,8",24.99,Red / Black,Memory
Silicon Power XPOWER Zenith RGB Gaming 64 GB,"2,32",184.99,White,Memory
G.Skill Trident Z5 RGB 32 GB,"2,16",119.99,Black,Memory
Kingston FURY Renegade 16 GB,"1,16",80.75,White / Silver,Memory
G.Skill Ripjaws S5 32 GB,"2,16",102.99,White,Memory
ADATA XPG GAMMIX D10 32 GB,"2,16",104.81,Black / Silver,Memory
Corsair Vengeance RGB RT 16 GB,"2,8",72.98,Black,Memory
G.Skill Ripjaws V 8 GB,"2,4",28.99,Black / Red,Memory
Gloway LYSB01EHFW722-ELECTRNCS 8 GB,"1,8",,Black / White,Memory
ADATA Premier 8 GB,"1,8",,Green,Memory
Corsair Vengeance 64 GB,"2,32",,Black,Memory
G.Skill Flare X5 32 GB,"2,16",105.99,Black,Memory
Patriot Viper Venom 64 GB,"2,32",194.99,Black / White,Memory
G.Skill Aegis 16 GB,"1,16",33.99,Black / Red,Memory
Kingston Fury Renegade RGB 32 GB,"2,16",270.98,Silver / White,Memory
Samsung M393A4K40BB1-CRC 32 GB,"1,32",46.37,Green,Memory
Corsair Vengeance 32 GB,"4,8",,Black / Silver,Memory
Kingston HyperX Fury 8 GB,"2,4",,Black / White,Memory
Acer Predator Hermes RGB 32 GB,"2,16",,White,Memory
Crucial CT2K16G56C46S5 32 GB,"2,16",94.99,Black,Memory
Kingston Fury Renegade RGB 32 GB,"2,16",135.75,Black / Silver,Memory
Corsair Vengeance LPX 64 GB,"4,16",144.99,Black / Yellow,Memory
TEAMGROUP Xtreem ARGB 48 GB,"2,24",259.99,Black,Memory
Klevv BOLT V 32 GB,"2,16",99.99,Black,Memory
TEAMGROUP T-Force Delta RGB 16 GB,"2,8",53.85,White,Memory
Corsair Vengeance RGB 64 GB,"2,32",229.99,Black / Silver,Memory
Corsair Vengeance RGB 32 GB,"2,16",135.99,Black,Memory
Crucial CT2K8G4DFS824A 16 GB,"2,8",40.0,Green / Black,Memory
Kingston HyperX Fury 8 GB,"1,8",,Blue / Silver,Memory
Kingston HyperX Fury 4 GB,"1,4",37.99,Black / Silver,Memory
G.Skill Trident Z RGB 16 GB,"2,8",54.99,Black,Memory
G.Skill Ripjaws S5 32 GB,"2,16",105.99,White,Memory
OLOy MD4U083016BJDA 16 GB,"2,8",36.99,Black,Memory
Kingston Fury Beast RGB Special Edition 16 GB,"2,8",65.62,White,Memory
Kingston ValueRAM 16 GB,"1,16",39.48,,Memory
Kingston FURY Renegade Pro 256 GB,"8,32",2002.94,Black,Memory
TEAMGROUP T-Force Vulcan 32 GB,"2,16",,Black,Memory
Corsair Vengeance RGB Pro SL 16 GB,"2,8",74.98,Black,Memory
ADATA XPG LANCER RGB 32 GB,"2,16",,Black,Memory
G.Skill Ripjaws V 64 GB,"2,32",,Black,Memory
Silicon Power XPOWER Zenith RGB Gaming 32 GB,"2,16",,Black,Memory
Patriot Signature Line 16 GB,"2,8",34.99,,Memory
TEAMGROUP T-Force Vulcan Z 32 GB,"2,16",57.99,Red / Black,Memory
Mushkin Redline 16 GB,"2,8",42.67,White,Memory
TEAMGROUP T-Force Vulcan alpha 32 GB,"2,16",,Red,Memory
Corsair Vengeance RGB Pro SL 64 GB,"2,32",149.99,Black,Memory
Corsair Vengeance RGB Pro 16 GB,"2,8",99.99,Black,Memory
Kingston FURY Beast RGB 32 GB,"2,16",132.99,Black,Memory
Crucial CT2KIT51264BD160B 8 GB,"2,4",19.89,Green,Memory
ADATA XPG LANCER RGB 32 GB,"2,16",,White,Memory
Corsair Vengeance LPX 16 GB,"4,4",74.98,Black / Yellow,Memory
TEAMGROUP T-Force Vulcan Z 8 GB,"1,8",25.45,Red,Memory
G.Skill Trident Z5 RGB 64 GB,"2,32",204.99,Black,Memory
Corsair Vengeance RGB RS 64 GB,"2,32",154.99,Black,Memory
G.Skill Trident Z5 RGB 64 GB,"2,32",209.99,Black,Memory
Patriot Signature Line 32 GB,"2,16",79.98,Black,Memory
Corsair Vengeance 64 GB,"2,32",219.9,Black / Gray,Memory
Corsair Vengeance LPX 16 GB,"2,8",38.98,Red,Memory
Corsair Vengeance 32 GB,"2,16",124.99,Black,Memory
Patriot Signature Premium 8 GB,"1,8",16.98,Black,Memory
G.Skill NT 4 GB,"1,4",,Black,Memory
Kingston FURY 16 GB,"2,8",,Black / Silver,Memory
ADATA XPG SPECTRIX D60G 32 GB,"2,16",,Silver / Black,Memory
Corsair Vengeance 64 GB,"2,32",164.99,Black / White,Memory
Patriot Viper Elite II 16 GB,"2,8",,Red / Black,Memory
Kingston KVR21R15D4K4/64 64 GB,"4,16",129.46,Black / Green,Memory
Lexar Ares RGB 16 GB,"2,8",57.0,Black,Memory
G.Skill Ripjaws V 16 GB,"2,8",74.99,Black,Memory
V-Color Prism Pro 16 GB,"2,8",45.99,Black,Memory
Wintec Value 8 GB,"2,4",,Green,Memory
Kingston HyperX Fury 8 GB,"1,8",,Black / White,Memory
TEAMGROUP T-Force Dark Za 32 GB,"2,16",,Black / Silver,Memory
G.Skill Trident Z 32 GB,"2,16",117.99,White / Black,Memory
Patriot Viper Elite II 64 GB,"2,32",114.98,Red / Black,Memory
Corsair Dominator Platinum RGB 32 GB,"4,8",179.99,Black,Memory
Crucial Pro Overclocking 16 GB,"1,16",78.23,Black,Memory
Patriot Viper 4 16 GB,"2,8",,Red / Black,Memory
Corsair Vengeance RGB 32 GB,"2,16",136.99,Black,Memory
Patriot Viper Elite II 32 GB,"1,32",61.99,Red / Black,Memory
TEAMGROUP Elite Plus 64 GB,"2,32",147.99,Black,Memory
Kingston FURY 64 GB,"4,16",269.56,White,Memory
G.Skill Ripjaws S5 32 GB,"2,16",103.99,Black,Memory
Kingston KVR1333D3S9/1G 1 GB,"1,1",,Green,Memory
Corsair Dominator Platinum RGB 64 GB,"2,32",239.99,Black,Memory
Patriot Viper Steel RGB 8 GB,"1,8",21.99,Black,Memory
ADATA XPG GAMMIX D10 16 GB,"2,8",114.37,Black,Memory
TEAMGROUP T-Force Zeus 64 GB,"2,32",109.99,Red,Memory
G.Skill Ripjaws V 16 GB,"2,8",37.99,Red,Memory
Kingston HyperX Fury 16 GB,"2,8",,Red / Silver,Memory
Kingston HyperX Fury RGB 16 GB,"2,8",,Black / Silver,Memory
G.Skill TridentZ RGB 32 GB,"2,16",365.22,Black,Memory
Corsair Vengeance RGB Pro SL 32 GB,"2,16",81.99,Black,Memory
G.Skill Trident Z RGB 64 GB,"2,32",142.99,Black,Memory
Corsair Vengeance LPX 32 GB,"4,8",89.99,Black / Yellow,Memory
TEAMGROUP T-Force Xtreem ARGB 32 GB,"2,16",84.99,Black / Blue,Memory
Patriot Viper Steel RGB 16 GB,"1,16",37.99,Black,Memory
Patriot Viper Steel RGB 64 GB,"2,32",132.99,Black,Memory
Kingston HyperX Fury 64 GB,"2,32",399.0,Black / Silver,Memory
Kingston Server Premier 32 GB,"1,32",299.0,,Memory
SK Hynix HMT351U7BFR8A-H9 4 GB,"1,4",,Blue / Black,Memory
ADATA XPG Z1 16 GB,"2,8",,Silver / Black,Memory
Silicon Power XPOWER Zenith Gaming 32 GB,"2,16",,Black,Memory
G.Skill Trident Z Neo 16 GB,"2,8",59.99,Black / Silver,Memory
G.Skill Ripjaws V 16 GB,"2,8",43.99,Black / Red,Memory
G.Skill Trident Z Neo 16 GB,"2,8",699.99,Black / Silver,Memory
Corsair Vengeance RGB Pro SL 32 GB,"4,8",114.99,Black,Memory
Corsair Vengeance RGB 64 GB,"2,32",214.99,White / Black,Memory
Corsair Vengeance RGB Pro 16 GB,"2,8",59.99,Black,Memory
Kingston FURY Beast 8 GB,"1,8",40.29,Black,Memory
TEAMGROUP T-Force Delta RGB Valkyrie Edition 32 GB,"2,16",99.99,Black / Silver,Memory
Kingston FURY Beast 16 GB,"2,8",,Black / Silver,Memory
V-Color TRA548G68D834O 384 GB,"8,48",3519.99,Black,Memory
Crucial Ballistix 64 GB,"2,32",,Black,Memory
G.Skill Flare X5 16 GB,"1,16",,Black,Memory
TEAMGROUP Elite 32 GB,"2,16",56.99,Black,Memory
Corsair Vengeance RGB 32 GB,"2,16",129.99,Black / Gray,Memory
Mushkin Redline Lumina 16 GB,"2,8",67.36,White,Memory
G.Skill Trident Z Neo 32 GB,"2,16",89.99,Silver / Black,Memory
Corsair Vengeance RGB Pro 32 GB,"2,16",91.99,Black,Memory
Corsair Vengeance RGB Pro SL 32 GB,"2,16",99.99,Black,Memory
Patriot Viper Venom 64 GB,"2,32",159.99,Black / White,Memory
G.Skill TridentZ RGB 32 GB,"2,16",,Black,Memory
Corsair Vengeance 64 GB,"2,32",212.48,Black / Gray,Memory
ADATA XPG LANCER RGB 32 GB,"2,16",,White,Memory
Patriot Viper Steel 32 GB,"1,32",62.99,Gray,Memory
Corsair Vengeance LPX 16 GB,"2,8",44.99,Black,Memory
Corsair ValueSelect 8 GB,"1,8",24.99,Black / Yellow,Memory
Kingston FURY Beast 16 GB,"1,16",60.99,Black,Memory
Kingston FURY Beast RGB 16 GB,"1,16",73.04,Black,Memory
Corsair Vengeance RGB 64 GB,"4,16",294.99,Black / Gray,Memory
Timetec PINNACLE Konduit 8 GB,"1,8",22.99,White,Memory
G.Skill Trident Z5 RGB 48 GB,"2,24",184.99,Black,Memory
Patriot Viper Elite II 32 GB,"2,16",61.99,Red / Black,Memory
Patriot Viper Elite 5 RGB 64 GB,"2,32",199.99,White,Memory
G.Skill Flare X 16 GB,"2,8",42.99,Black,Memory
G.Skill Aegis 8 GB,"1,8",20.91,Black / Red,Memory
G.Skill Trident Z 32 GB,"2,16",114.99,Black,Memory
Kingston FURY Renegade Pro 128 GB,"4,32",645.0,Black,Memory
G.Skill Ripjaws X 16 GB,"2,8",58.79,Black / Blue,Memory
G.Skill Ripjaws V 16 GB,"2,8",42.99,Black,Memory
TEAMGROUP T-Force DELTAα RGB 32 GB,"2,16",104.99,Black,Memory
G.Skill Trident Z5 RGB 32 GB,"2,16",113.99,Black,Memory
Mushkin Redline 32 GB,"2,16",218.99,White,Memory
Patriot Viper Steel 16 GB,"1,16",34.99,Gray,Memory
Kingston FURY Beast 8 GB,"1,8",27.83,Black,Memory
Corsair Vengeance RGB RS 8 GB,"1,8",29.99,Black / Gray,Memory
Kingston Server Premier 64 GB,"1,64",199.0,,Memory
Corsair Vengeance RGB Pro SL 256 GB,"8,32",1272.56,Black,Memory
Crucial CT2K16G48C40S5 32 GB,"2,16",84.99,Black,Memory
G.Skill Trident Z RGB 16 GB,"2,8",89.99,Black,Memory
Corsair Vengeance RGB Pro 32 GB,"2,16",85.0,Black,Memory
Corsair Dominator Platinum RGB 64 GB,"4,16",315.0,Black,Memory
G.Skill Aegis 16 GB,"2,8",38.27,Black / Red,Memory
Kingston HyperX Fury 8 GB,"2,4",,Black / Silver,Memory
Corsair CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model CMK16GX4M2C3000C16W 16 GB,"2,8",,White / Black,Memory
TEAMGROUP T-Force Vulcan 32 GB,"2,16",,Red,Memory
PROXMEM UNDERWORLD TUF 32 GB,"2,16",,Black / Gray,Memory
Corsair Dominator Titanium 48 GB,"2,24",239.99,Black,Memory
Thermaltake TOUGHRAM RGB 16 GB,"2,8",134.98,White / Silver,Memory
G.Skill Ripjaws S5 96 GB,"2,48",284.99,Black,Memory
Crucial Ballistix Sport 16 GB,"2,8",100.0,Black / Silver,Memory
Crucial Ballistix Sport LT 16 GB,"2,8",,Red,Memory
Silicon Power SU016GLSTU160N22AH 16 GB,"2,8",16.98,Green,Memory
Patriot Viper Elite 5 RGB 96 GB,"2,48",423.66,White,Memory
Patriot Viper Steel 16 GB,"2,8",,Silver / Black,Memory
Crucial CT16G52C42U5 16 GB,"1,16",57.99,Black,Memory
Kingston ValueRAM 8 GB,"1,8",27.21,,Memory
Kingston KVR21L15Q4/32 32 GB,"1,32",149.96,Black / Green,Memory
G.Skill Flare X 32 GB,"2,16",79.92,Black,Memory
G.Skill Ripjaws V 16 GB,"2,8",,Black,Memory
Corsair Vengeance RGB Pro 16 GB,"2,8",51.0,Black,Memory
Patriot Viper Steel RGB 16 GB,"1,16",37.99,Black,Memory
G.Skill Ripjaws V 64 GB,"4,16",929.45,Black,Memory
Kingston HyperX Fury RGB 32 GB,"2,16",,Black,Memory
Kingston FURY Renegade 16 GB,"2,8",,Black,Memory
AMD R7 Performance 8 GB,"1,8",,Black / Red,Memory
G.Skill Trident Z RGB 32 GB,"2,16",,Black,Memory
Corsair Dominator Platinum RGB 64 GB,"4,16",359.99,Black,Memory
Corsair Vengeance RGB Pro 16 GB,"2,8",64.98,White,Memory
Kingston ValueRAM 8 GB,"1,8",25.38,Green,Memory
Kingston ValueRAM 8 GB,"1,8",37.95,Green,Memory
Kingston KSM48R40BD8KMM-32HMR 32 GB,"1,32",148.78,Green,Memory
Patriot Signature Line 8 GB,"1,8",17.48,Green,Memory
Silicon Power XPOWER Zenith Gaming 32 GB,"2,16",86.99,White,Memory
Corsair Vengeance 64 GB,"2,32",181.04,Gray,Memory
Corsair Vengeance LPX 64 GB,"4,16",154.99,Black / Yellow,Memory
G.Skill Ripjaws S5 32 GB,"2,16",107.99,White,Memory
Corsair Vengeance RGB 64 GB,"2,32",209.99,Black / Gray,Memory
Corsair Dominator Platinum RGB 64 GB,"4,16",249.99,Black,Memory
Kingston Fury Renegade RGB 32 GB,"2,16",264.99,Silver / Black,Memory
Samsung M393A2G40DB0-CPB 16 GB,"1,16",51.49,Black / Green,Memory
Corsair Dominator Platinum 8 GB,"2,4",,Black / Silver,Memory
Crucial Ballistix RGB 16 GB,"2,8",,White,Memory
Neo Forza FAYE 16 GB,"2,8",,Silver / Black,Memory
Corsair Vengeance 64 GB,"4,16",259.32,Black / Silver,Memory
Corsair Vengeance RGB RT 32 GB,"2,16",99.99,White / Black,Memory
Corsair Vengeance LPX 32 GB,"2,16",73.98,Black / Yellow,Memory
TEAMGROUP Elite 32 GB,"1,32",75.99,Black,Memory
Patriot Viper Steel RGB 8 GB,"1,8",21.99,Black,Memory
G.Skill NS 4 GB,"1,4",40.0,Black,Memory
G.Skill TridentZ RGB 32 GB,"2,16",,Black,Memory
TEAMGROUP T-Force Delta RGB 16 GB,"2,8",52.54,Black,Memory
Crucial CT32G52C42U5 32 GB,"1,32",89.99,Black,Memory
Kingston FURY Beast 64 GB,"4,16",172.75,Black,Memory
Kingston FURY Beast 128 GB,"4,32",311.75,Black,Memory
Corsair Vengeance RGB Pro 64 GB,"4,16",194.99,Black,Memory
Kingston FURY Beast RGB 64 GB,"2,32",159.99,Black,Memory
G.Skill Trident Z RGB 128 GB,"4,32",,Black,Memory
Crucial CT2KIT102472BD160B 16 GB,"2,8",99.45,Black / Green,Memory
Kingston HyperX Fury 16 GB,"2,8",,White / Silver,Memory
Apacer ZADAK Twist 16 GB,"2,8",,Black / Silver,Memory
TEAMGROUP Elite Plus 16 GB,"2,8",,Black / Gold,Memory
Corsair Dominator Platinum RGB 32 GB,"2,16",157.99,,Memory
G.Skill Trident Z Neo 64 GB,"2,32",149.99,Black / Silver,Memory
Kingston FURY Renegade 16 GB,"1,16",75.98,Silver / White,Memory
G.Skill Trident Z5 RGB 64 GB,"2,32",198.99,Black,Memory
Patriot Viper Elite II 8 GB,"1,8",19.98,Red / Black,Memory
Crucial Ballistix 16 GB,"2,8",,Black,Memory
G.Skill Trident Z Royal 256 GB,"8,32",659.99,Silver,Memory
Kingston ValueRAM 16 GB,"1,16",60.2,Green,Memory
Corsair Vengeance Pro 16 GB,"2,8",,Black / Red,Memory
Corsair Vengeance LPX 128 GB,"8,16",,Black / Yellow,Memory
G.Skill Trident Z5 64 GB,"2,32",209.99,Black / Silver,Memory
Kingston Server Premier 32 GB,"1,32",119.99,Green / Black,Memory
Patriot Viper Steel RGB 32 GB,"1,32",60.99,Black,Memory
Kingston FURY Beast RGB 64 GB,"2,32",209.99,Black,Memory
TEAMGROUP Elite Plus 16 GB,"1,16",45.99,Silver,Memory
Corsair Vengeance RGB RS 16 GB,"1,16",49.99,Black,Memory
Corsair Vengeance LPX 16 GB,"2,8",41.99,Black / Yellow,Memory
PNY Performance 16 GB,"1,16",37.98,Black,Memory
TEAMGROUP T-Force Vulcan Z 16 GB,"1,16",40.76,Gray,Memory
Kingston FURY Beast RGB 8 GB,"1,8",43.71,Black,Memory
Samsung M393A1G40DB0-CPB 8 GB,"1,8",19.57,Black / Green,Memory
GeIL Dragon RAM 32 GB,"2,16",,White / Gold,Memory
Crucial Ballistix Sport LT 16 GB,"2,8",,Gray,Memory
G.Skill Ripjaws V 16 GB,"2,8",,Black,Memory
G.Skill Trident Z5 Neo 32 GB,"2,16",109.99,Black,Memory
Patriot Signature 16 GB,"2,8",26.99,Black,Memory
Kingston FURY 32 GB,"2,16",138.51,White,Memory
G.Skill Trident Z Royal 32 GB,"4,8",185.33,Silver,Memory
ADATA XPG LANCER RGB 64 GB,"2,32",,Black,Memory
Kingston FURY Beast 16 GB,"1,16",66.31,Black,Memory
Kingston FURY 16 GB,"1,16",68.85,White,Memory
Kingston Fury Renegade RGB 96 GB,"2,48",334.99,Silver / Black,Memory
G.Skill Aegis 16 GB,"2,8",37.9,Black / Red,Memory
Crucial CT16G4DFD824A 16 GB,"1,16",34.99,Green / Black,Memory
Corsair Vengeance LPX 16 GB,"2,8",49.99,Black / Yellow,Memory
G.Skill Trident Z RGB 128 GB,"8,16",989.0,,Memory
Kingston HyperX Fury 8 GB,"2,4",,Red / Silver,Memory
Crucial CT4G4RFS8266 4 GB,"1,4",25.4,Green / Black,Memory
ADATA XPG SPECTRIX D50 32 GB,"2,16",,Black,Memory
G.Skill Trident Z RGB 8 GB,"1,8",,Black,Memory
G.Skill Ripjaws S5 32 GB,"2,16",114.99,Black,Memory
G.Skill Ripjaws S5 48 GB,"2,24",139.99,Black,Memory
Corsair Vengeance RGB Pro 16 GB,"2,8",74.98,Black,Memory
Kingston FURY Renegade 64 GB,"2,32",296.69,Silver / Black,Memory
PNY XLR8 16 GB,"2,8",37.99,Black,Memory
Corsair Vengeance RGB Pro SL 32 GB,"4,8",129.99,Black,Memory
G.Skill Aegis 16 GB,"1,16",33.99,Red / Black,Memory
Kingston FURY Beast 32 GB,"2,16",87.3,Black,Memory
Crucial CT2KIT25664AA800 4 GB,"2,2",31.49,Green,Memory
Crucial Ballistix Sport LT 8 GB,"1,8",159.0,Silver,Memory
TEAMGROUP T-Force Delta RGB 16 GB,"2,8",,Black,Memory
Apacer Panther-Golden 8 GB,"1,8",,Black / Gold,Memory
Kingston HyperX Fury 16 GB,"1,16",,Black,Memory
G.Skill Trident Z Neo 32 GB,"2,16",479.82,Black / Silver,Memory
Mushkin Redline Lumina White 32 GB,"2,16",107.99,White,Memory
TEAMGROUP T-Force Vulcan Z 64 GB,"2,32",117.99,Red,Memory
TEAMGROUP Xtreem 32 GB,"2,16",179.99,Black,Memory
Patriot Viper 4 Blackout 16 GB,"2,8",39.99,Black,Memory
Kingston Fury Beast RGB Special Edition 32 GB,"2,16",101.25,White,Memory
G.Skill Trident Z 16 GB,"2,8",56.86,Red / Silver,Memory
